"appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","label"
"2710","Act of War: Direct Action","2008-03-12","1","Eugen Systems","THQ Nordic","windows","0","Single-player;Multi-player","Action","Action;Strategy;RTS","0","180","33","0","0","20000-50000","1.99","0"
"3483","Peggle Extreme","2007-09-11","1","PopCap Games, Inc.","PopCap Games, Inc.","windows","0","Single-player","Casual","Casual;Puzzle;Free to Play","0","707","58","1","1","200000-500000","0.0","0"
"3910","Sid Meier's Civilization® III Complete","2006-10-25","1","Firaxis Games","2K","windows","0","Single-player;Multi-player;Includes level editor","Strategy","Strategy;Turn-Based Strategy;Turn-Based","0","2578","405","1166","13","2000000-5000000","2.99","0"
"3960","Shattered Union","2006-10-25","1","PopTop","2K","windows","0","Single-player;Multi-player","Strategy","Strategy;Turn-Based Strategy","0","39","49","0","0","20000-50000","2.99","0"
"3990","Civilization IV®: Warlords","2007-04-06","1","Firaxis Games","2K","windows;mac","0","Single-player","Strategy","Strategy;Turn-Based;4X","0","121","20","0","0","1000000-2000000","2.99","0"
"4560","Company of Heroes - Legacy Edition","2007-07-17","1","Relic Entertainment","SEGA","windows","18","Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud","Violent;Action;Strategy","Strategy;RTS;World War II","0","4772","320","175","186","2000000-5000000","0.0","0"
"4700","Total War: MEDIEVAL II – Definitive Edition","2006-11-15","1","CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)","windows;mac;linux","0","Single-player;Multi-player;Steam Trading Cards","Strategy","Strategy;Medieval;Historical","0","10270","605","469","361","2000000-5000000","0.0","0"
"4780","Medieval II: Total War™ Kingdoms","2007-08-28","1","The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux)","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)","windows;mac;linux","0","Single-player;Multi-player","Strategy","Strategy;Medieval;Historical","0","585","30","0","0","200000-500000","0.0","0"
"4900","Zen of Sudoku","2006-12-14","1","Unknown Worlds Entertainment","Unknown Worlds Entertainment","windows","0","Single-player","Casual;Indie","Casual;Indie;Puzzle","0","122","17","0","0","0-20000","0.0","0"
"6370","Bloodline Champions","2011-10-28","1","Stunlock Studios","Stunlock Studios","windows","0","Single-player;Multi-player;MMO","Action;Free to Play;Massively Multiplayer","Free to Play;Action;MOBA","0","1365","226","70","102","500000-1000000","0.0","0"
"7620","Railroad Tycoon II Platinum","2007-05-04","1","PopTop","2K","windows","0","Single-player","Strategy","Strategy;Management;Trains","0","420","82","1244","1261","200000-500000","2.99","0"
"7650","X-COM: Terror From the Deep","2007-05-04","1","MicroProse Software, Inc","2K","windows","0","Single-player","Strategy","Strategy;Turn-Based;Sci-fi","0","385","32","66","82","500000-1000000","2.99","0"
"7660","X-COM: Apocalypse","2008-09-04","1","MicroProse Software, Inc","2K","windows","0","Single-player","Strategy","Strategy;Turn-Based;Tactical","0","417","53","18","18","500000-1000000","2.99","0"
"7730","X-COM: Interceptor","2008-09-04","1","MicroProse Software, Inc","2K","windows","0","Single-player;Multi-player","Strategy","Strategy;Sci-fi;Space","0","57","54","0","0","500000-1000000","2.99","0"
"7760","X-COM: UFO Defense","2008-09-04","1","MicroProse Software, Inc","2K","windows","0","Single-player","Strategy","Strategy;Classic;Turn-Based Strategy","0","2165","136","2235","2224","1000000-2000000","2.99","0"
"7770","X-COM: Enforcer","2008-09-04","1","MicroProse Software, Inc","2K","windows","0","Single-player;Multi-player","Strategy","Strategy;Action;Shooter","0","146","138","0","0","500000-1000000","2.99","0"
"7840","Death Track®: Resurrection","2009-05-06","1","Sky Fallen","1C Entertainment","windows","0","Single-player;Steam Cloud","Racing","Racing;Action;Shooter","0","34","50","0","0","20000-50000","1.99","0"
"8310","Bone: Out From Boneville","2008-06-17","1","Telltale Games","Telltale Games","windows","0","Single-player","Adventure","Adventure;Point & Click","0","78","71","0","0","100000-200000","0.0","0"
"8320","Bone: The Great Cow Race","2008-06-17","1","Telltale Games","Telltale Games","windows","0","Single-player","Adventure","Adventure;Point & Click","0","44","33","0","0","100000-200000","0.0","0"
"8330","Telltale Texas Hold ‘Em","2008-06-17","1","Telltale Games","Telltale Games","windows","0","Single-player","Casual","Casual;Card Game","0","69","77","0","0","100000-200000","1.99","0"
"8400","Geometry Wars: Retro Evolved","2007-06-18","1","Bizarre Creations","Activision","windows","0","Single-player;Full controller support","Casual","Arcade;Twin Stick Shooter;Casual","0","583","62","109","109","100000-200000","2.99","0"
"8500","EVE Online","2010-12-15","1","CCP","CCP","windows;mac","0","Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards","Action;Free to Play;Massively Multiplayer;RPG;Strategy","Space;Massively Multiplayer;Sci-fi","0","8317","2832","5123","230","1000000-2000000","0.0","0"
"8600","RACE 07","2007-10-15","1","SimBin","SimBin","windows","0","Single-player;Multi-player","Racing","Racing;Simulation;Driving","0","1684","348","1636","218","1000000-2000000","2.49","0"
"8880","Freedom Force","2009-05-29","1","Irrational Games","2K","windows","0","Single-player;Multi-player","RPG;Strategy","RPG;Strategy;Superhero","0","197","150","16","16","200000-500000","2.99","0"
"8890","Freedom Force vs. the Third Reich","2009-05-29","1","Irrational Games","2K","windows","0","Single-player;Multi-player","RPG;Strategy","RPG;Strategy;Superhero","0","121","28","23","23","200000-500000","2.99","0"
"9000","Spear of Destiny","2007-08-03","1","id Software","id Software","windows","0","Single-player;Steam Cloud","Action","Action;FPS;Classic","0","200","36","0","0","200000-500000","2.49","0"
"9030","QUAKE Mission Pack 2: Dissolution of Eternity","2007-08-03","1","Rogue Entertainment","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Action;FPS;Shooter","0","143","15","88","91","200000-500000","2.49","0"
"9040","QUAKE Mission Pack 1: Scourge of Armagon","2007-08-03","1","Ritual Entertainment","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Action;FPS;Shooter","0","205","13","129","152","200000-500000","2.49","0"
"9050","DOOM 3","2007-08-03","1","id Software","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Horror;FPS;Action","0","2633","376","362","394","200000-500000","0.0","0"
"9060","HeXen II","2007-08-03","1","Raven Software","id Software","windows","0","Single-player;Multi-player;Co-op;Steam Cloud","Action","Action;FPS;Classic","0","173","39","10","10","200000-500000","2.99","0"
"9160","Master Levels for Doom II","2007-08-03","1","id Software","id Software","windows","0","Single-player;Steam Cloud","Action","Action;FPS;Classic","0","310","69","7","12","500000-1000000","0.0","0"
"9180","Commander Keen","2007-08-03","1","id Software","id Software","windows","0","Single-player;Steam Cloud","Action","Platformer;Classic;Action","0","737","51","145","145","200000-500000","2.99","0"
"9760","Act of War: High Treason","2008-03-12","1","Eugen Systems","THQ Nordic","windows","0","Single-player;Multi-player","Action","Action;Strategy;RTS","0","157","38","0","0","20000-50000","1.99","0"
"9880","Champions Online","2011-06-14","1","Cryptic Studios","Perfect World Entertainment","windows","0","Multi-player;MMO;Co-op;Steam Achievements","Free to Play;Massively Multiplayer;RPG","Free to Play;Superhero;Massively Multiplayer","709","2081","823","12952","724","1000000-2000000","0.0","0"
"9900","Star Trek Online","2012-01-31","1","Cryptic Studios","Perfect World Entertainment","windows","0","Multi-player;MMO;Co-op;Steam Achievements;Full controller support;In-App Purchases","Free to Play;Massively Multiplayer;RPG","Free to Play;Sci-fi;Space","0","7639","2391","2514","638","1000000-2000000","0.0","0"
"9940","Blade Kitten","2014-05-22","1","Krome Studios","Krome Studios","windows","0","Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","Action;Adventure","Anime;Platformer;Female Protagonist","20","746","149","222","360","50000-100000","1.99","0"
"11020","TrackMania Nations Forever","2008-04-16","1","Nadeo","Ubisoft","windows","0","Single-player;Multi-player;Includes level editor","Racing","Racing;Free to Play;Multiplayer","0","8252","1244","902","87","2000000-5000000","0.0","0"
"11130","Sherlock Holmes: The Mystery of the Mummy","2009-08-06","1","Frogwares","Frogwares","windows","0","Single-player","Adventure","Adventure;Point & Click;Detective","0","59","130","0","0","100000-200000","0.0","0"
"11230","Gumboy Tournament","2008-05-19","1","CINEMAX, s.r.o.","CINEMAX, s.r.o.","windows","0","Single-player;Multi-player","Casual;Indie;Racing","Indie;Casual;Racing","0","351","142","46","49","50000-100000","1.79","0"
"12170","Grand Theft Auto","2008-01-04","1","Rockstar North","Rockstar Games","windows","0","Single-player","Action","Action;Classic;Open World","0","199","30","7","7","500000-1000000","0.0","0"
"12180","Grand Theft Auto 2","2008-01-04","1","Rockstar North","Rockstar Games","windows","0","Single-player","Action","Action;Classic;Open World","0","184","17","3","4","500000-1000000","0.0","0"
"12470","Port Royale 2","2009-06-16","1","Ascaron Entertainment ltd.","Strategy First","windows","0","Single-player","Strategy","Strategy;Trading;Pirates","0","174","95","203","203","50000-100000","2.99","0"
"13140","America's Army 3","2009-06-17","1","U.S. Army","U.S. Army","windows","0","Single-player;Multi-player;Steam Achievements;Steam Cloud","Action","Action;Free to Play;FPS","71","1515","723","12","13","500000-1000000","0.0","0"
"15700","Oddworld: Abe's Oddysee®","2008-08-28","1","Oddworld Inhabitants","Oddworld Inhabitants","windows","0","Single-player;Steam Trading Cards","Adventure","Adventure;Platformer;Classic","0","2739","442","387","217","2000000-5000000","1.99","0"
"15710","Oddworld: Abe's Exoddus®","2008-08-28","1","Oddworld Inhabitants","Oddworld Inhabitants","windows","0","Single-player","Adventure","Adventure;Platformer;2D","0","806","48","67","67","200000-500000","1.99","0"
"16500","Chaos Theory","2008-05-22","1","blurredVision","blurredVision","windows","0","Single-player;Steam Achievements","Casual;Indie","Indie;Casual;Puzzle","12","10","1","0","0","0-20000","1.99","0"
"16710","Insecticide Part 1","2008-07-01","1","Crackpot Entertainment","Missing Link Games","windows","0","Single-player","Action;Adventure","Adventure;Action;Female Protagonist","0","308","110","264","265","100000-200000","0.79","0"
"16720","Velvet Assassin","2009-05-01","1","Replay Studios","Missing Link Games","windows;mac","0","Single-player;Partial Controller Support","Action","Stealth;Action;Female Protagonist","0","1219","832","9","10","200000-500000","1.69","0"
"16730","Legendary","2008-12-01","1","Spark Unlimited","SouthPeak Games","windows","0","Single-player","Action","Action;FPS;Shooter","0","1095","1000","90","90","200000-500000","1.69","0"
"17080","Tribes: Ascend","2012-06-27","1","Hi-Rez Studios","Hi-Rez Studios","windows","0","Multi-player;Co-op","Action;Free to Play","Free to Play;FPS;Action","0","6470","1738","128","75","2000000-5000000","0.0","0"
"17120","Children of the Nile: Alexandria","2008-09-22","1","Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc.","windows","0","Single-player;Steam Achievements","Strategy;Simulation","City Builder;Simulation;Management","4","54","13","0","0","20000-50000","1.49","0"
"17500","Zombie Panic! Source","2008-10-03","1","Zombie Panic Team","Zombie Panic Team","windows;linux","0","Multi-player;Co-op;Mods;Mods (require HL2);Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK","Action;Free to Play;Indie","Free to Play;Zombies;Multiplayer","106","5267","914","948","86","500000-1000000","0.0","0"
"17570","Pirates, Vikings, and Knights II","2010-02-12","1","Octoshark Studios","Octoshark Studios","windows;mac;linux","0","Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Mods;Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor;Includes Source SDK","Action;Free to Play;Indie","Free to Play;Multiplayer;Action","247","3839","582","117","197","500000-1000000","0.0","0"
"17740","Empires Mod","2008-07-28","1","Empires","Empires","windows;linux","0","Multi-player;Cross-Platform Multiplayer;Steam Cloud;Includes level editor;Includes Source SDK","Action;Free to Play;Strategy","Free to Play;Strategy;Action","8","663","115","701","1378","100000-200000","0.0","0"
"19500","Eternity's Child","2008-07-31","1","Luc Bernard;SilverSphereStudios","Silver Sphere Studios","windows","0","Single-player;Steam Achievements;Partial Controller Support;Includes level editor","Adventure;Indie","Indie;Adventure;Platformer","4","16","47","9","9","0-20000","2.99","0"
"21300","Gravitron 2","2008-09-30","1","Dark Castle Software","Dark Castle Software","windows","0","Single-player;Steam Achievements","Indie;Casual","Arcade","10","19","8","0","0","0-20000","2.99","0"
"22120","Penumbra: Black Plague Gold Edition","2009-01-23","1","Frictional Games","Frictional Games","windows;mac;linux","0","Single-player;Captions available","Nudity;Gore;Action;Adventure;Indie","Horror;Adventure;First-Person","0","1396","79","188","189","200000-500000","0.0","0"
"22180","Penumbra Overture","2009-03-06","1","Frictional Games","Frictional Games","windows;mac;linux","0","Single-player;Captions available","Gore;Action;Adventure;Indie","Horror;Adventure;First-Person","0","1660","164","37","43","500000-1000000","0.0","0"
"22350","BRINK","2011-05-09","1","Splash Damage","Bethesda Softworks","windows","0","Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Steam Leaderboards","Action;Free to Play","FPS;Action;Multiplayer","43","3493","2331","181","99","1000000-2000000","0.0","0"
"23150","Fluttabyes","2010-04-20","1","Red Chain Games Ltd.","Red Chain Games Ltd.","windows","0","Single-player;Steam Achievements","Casual;Indie","Indie;Casual","40","13","5","0","0","0-20000","1.59","0"
"24200","DC Universe™ Online","2011-11-02","1","Daybreak Game Company","Daybreak Game Company","windows","0","Multi-player;MMO;Steam Achievements;Full controller support","Action;Adventure;Free to Play;Massively Multiplayer;RPG","Free to Play;Superhero;Massively Multiplayer","169","10138","2654","2990","3851","2000000-5000000","0.0","0"
"25500","Cricket Revolution","2009-10-28","1","Mindstorm Studios","Mindstorm Studios","windows","0","Single-player;Multi-player","Indie;Simulation;Sports","Sports;Simulation;Indie","0","63","50","0","0","20000-50000","1.99","0"
"25600","Eschalon: Book I","2009-02-10","1","Basilisk Games","Basilisk Games","windows;mac;linux","0","Single-player","Indie;RPG","RPG;Indie;Isometric","0","167","25","0","0","50000-100000","0.0","0"
"27330","Blacklight: Tango Down","2010-07-14","1","Zombie Studios","Ignition Entertainment","windows","0","Single-player;Multi-player;Co-op;Partial Controller Support","Action","Action;FPS;Multiplayer","12","132","209","129","193","50000-100000","0.79","0"
"27920","Booster Trooper","2010-04-23","1","DnS Development","DnS Development","windows","0","Single-player;Multi-player;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards","Action;Indie","Action;Indie;Platformer","260","91","94","10","10","20000-50000","1.69","0"
"29800","Caster","2009-03-19","1","Elecorn","Elecorn","windows;mac","0","Single-player;Steam Trading Cards;Partial Controller Support","Action;Adventure;Casual;Indie;RPG;Strategy","Action;Indie;Adventure","0","3277","868","120","160","200000-500000","0.99","0"
"32390","STAR WARS™ Jedi Knight - Mysteries of the Sith™","2009-09-16","1","LucasArts","LucasArts;Lucasfilm;Disney Interactive","windows","0","Single-player;Multi-player;Partial Controller Support;Steam Cloud","Action","Action;Star Wars;FPS","0","366","192","30","30","500000-1000000","2.09","0"
"32670","Delta Force: Black Hawk Down","2009-06-18","1","NovaLogic","NovaLogic;THQ Nordic","windows","0","Single-player;Multi-player","Action","Action;FPS;Military","0","258","23","0","0","20000-50000","0.0","0"
"32680","Delta Force — Black Hawk Down: Team Sabre","2009-06-18","1","Ritual Entertainment","NovaLogic;THQ Nordic","windows","0","Single-player;Multi-player","Action","Action;FPS","0","167","17","0","0","20000-50000","0.0","0"
"34030","Total War: NAPOLEON – Definitive Edition","2010-02-25","1","CREATIVE ASSEMBLY;Feral Interactive (Mac)","SEGA;Feral Interactive (Mac)","windows;mac","0","Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats","Strategy","Strategy;Historical;Grand Strategy","71","8540","907","1251","1534","2000000-5000000","0.0","0"
"34810","Project Freedom","2009-10-14","1","City Interactive","CI Games","windows","0","Single-player","Action;Simulation","Action;Simulation;Space","0","80","26","0","0","20000-50000","2.99","0"
"34900","Bad Rats: the Rats' Revenge","2009-07-20","1","Invent4 Entertainment","Strategy First","windows","0","Single-player;Steam Achievements;Steam Trading Cards","Indie","Cult Classic;Physics;Indie","13","10465","2981","257","276","200000-500000","0.79","0"
"35070","Flora's Fruit Farm","2009-10-01","1","Honeyslug","Square Enix","windows","0","Single-player","Casual","Casual;Agriculture","0","58","28","0","0","50000-100000","2.99","0"
"35800","BRAINPIPE: A Plunge to Unhumanity","2009-07-06","1","Digital Eel","Digital Eel","windows;mac","0","Single-player;Partial Controller Support","Casual;Indie","Casual;Indie;Psychedelic","0","126","22","0","0","50000-100000","0.0","0"
"37400","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack","2009-08-25","1","Size Five Games","Size Five Games","windows","0","Single-player","Adventure;Indie","Point & Click;Adventure;Indie","0","494","118","10","10","200000-500000","2.99","0"
"37500","Magnetis ","2009-11-05","1","Yullaby","Yullaby","windows","0","Single-player;Multi-player;Co-op;Steam Achievements;Steam Leaderboards","Indie;Casual","Indie;Casual;Puzzle","40","33","9","49","49","0-20000","1.49","0"
"37600","Windosill","2009-09-25","1","Vectorpark","Vectorpark","windows;mac","0","Single-player","Adventure;Casual;Indie","Casual;Point & Click;Indie","0","821","85","31","31","100000-200000","1.99","0"
"38210","Roogoo","2009-12-17","1","Spidermonk Entertainment","SouthPeak Games","windows","0","Single-player;Multi-player","Casual","Casual;Puzzle;Masterpiece","0","273","66","4","4","50000-100000","0.79","0"
"39000","Moonbase Alpha","2010-07-06","1","Virtual Heroes;Army Game Studio","NASA","windows","0","Single-player;Multi-player;Co-op;Valve Anti-Cheat enabled;Stats;Steam Leaderboards","Adventure;Simulation;Strategy","Space;Simulation;Free to Play","0","9867","1166","54","46","1000000-2000000","0.0","0"
"39110","SEASON OF MYSTERY: The Cherry Blossom Murders","2010-02-03","1","SQUARE ENIX","Square Enix","windows","0","Single-player;Steam Achievements","Casual","Casual;Hidden Object;Adventure","15","156","44","0","0","50000-100000","2.99","0"
"39120","RIFT","2011-03-01","1","Trion Worlds","Trion Worlds","windows","0","Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards;In-App Purchases","Free to Play;Massively Multiplayer;RPG","Free to Play;MMORPG;Massively Multiplayer","0","6885","2326","4104","1997","2000000-5000000","0.0","0"
"39800","Nation Red","2009-09-03","1","DiezelPower","DiezelPower","windows;mac;linux","0","Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Indie","Zombies;Action;Indie","145","2093","272","154","222","200000-500000","1.79","0"
"40500","Sacraboar","2009-11-06","1","Makivision Games","Makivision Games","windows","0","Single-player;Multi-player;Steam Achievements;Steam Cloud","Action;Strategy;Indie","Strategy;Action;Indie","51","14","42","0","0","20000-50000","2.09","0"
"41300","Altitude","2009-12-04","1","Nimbly Games","Nimbly Games","windows;mac;linux","0","Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Stats;Includes level editor","Action;Free to Play;Indie","Free to Play;Action;Indie","52","1540","128","333","657","200000-500000","0.0","0"
"41400","Doom Rails","2009-11-04","1","Dream Forge Entertainment, LLC","Dream Forge Entertainment, LLC","windows","0","Single-player;Multi-player","Action;Indie","Action;Indie","0","8","20","0","0","0-20000","1.99","0"
"42500","DogFighter","2010-06-14","1","Dark Water Studios Ltd","Instinct Software Ltd.","windows","0","Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards","Action;Indie","Action;Indie;Arcade","29","232","152","63","63","200000-500000","1.99","0"
"42930","Elven Legacy: Magic","2009-12-03","1","1C:InoCo","1C Entertainment","windows","0","Single-player;Steam Cloud","Strategy","Strategy","0","8","3","0","0","20000-50000","1.59","0"
"42940","Elven Legacy: Siege","2009-11-17","1","1C:InoCo","1C Entertainment","windows","0","Single-player;Steam Cloud","Strategy","Strategy","0","4","3","0","0","50000-100000","1.59","0"
"42950","Elven Legacy: Ranger","2009-10-20","1","1C:InoCo","1C Entertainment","windows","0","Single-player;Steam Cloud","Strategy","Strategy","0","9","2","0","0","20000-50000","1.59","0"
"44100","Super Laser  Racer","2010-02-18","1","New Star Games Ltd","New Star Games Ltd","windows","0","Single-player;Multi-player;Steam Achievements;Partial Controller Support","Action;Indie;Racing","Racing;Indie;Action","23","73","11","0","0","20000-50000","2.99","0"
"45400","Fortix","2010-04-14","1","Nemesys Games","Nemesys Games","windows;mac","0","Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards","Indie","Indie;Casual;Fantasy","12","802","69","287","287","100000-200000","0.99","0"
"45450","Fortix 2","2011-05-06","1","Nemesys Games","Nemesys Games","windows;mac;linux","0","Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards","Casual;Indie","Indie;Casual;Puzzle","26","462","45","487","487","100000-200000","1.59","0"
"45730","Dark Void™ Zero","2010-04-12","1","Other Ocean Interactive","Capcom","windows","0","Single-player;Steam Achievements;Full controller support;Steam Leaderboards","Action;Adventure","Action;Adventure;Platformer","30","130","139","0","0","20000-50000","2.99","0"
"46200","A.I.M. Racing","2010-01-22","1","SkyRiver Studios","1C Entertainment","windows","0","Single-player;Partial Controller Support;Steam Cloud","Action;Racing","Racing;Action","0","54","21","0","0","20000-50000","0.0","0"
"46270","Star Wolves","2010-03-02","1","X-Bow Software","1C Entertainment","windows","0","Single-player;Steam Cloud","RPG;Strategy","RPG;Strategy;Space","0","182","42","0","0","50000-100000","2.79","0"
"46280","Star Wolves 2","2010-03-02","1","X-Bow Software","1C Entertainment","windows","0","Single-player","RPG;Strategy","Strategy;RPG;Space","0","42","52","0","0","50000-100000","2.79","0"
"46290","Theatre of War","2010-07-09","1","1C Entertainment","1C Entertainment","windows","0","Single-player;Multi-player;Steam Cloud;Includes level editor","Strategy","Strategy;World War II;RTS","0","116","86","0","0","100000-200000","2.79","0"
"46350","Real Warfare 1242","2011-11-30","1","Unicorn Games Studio","1C Entertainment","windows","0","Single-player;Steam Cloud","Strategy","Strategy;RTS;Medieval","0","31","30","0","0","50000-100000","2.79","0"
"46380","Reign: Conflict of Nations","2010-07-12","1","Lesta Studio","1C Entertainment","windows","0","Single-player;Steam Cloud","Strategy","Strategy;Medieval","0","36","44","0","0","50000-100000","2.79","0"
"46600","Swarm Arena","2010-08-19","1","Dedication Games","Dedication Games","windows","0","Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Leaderboards","Action;Casual;Indie","Indie;Casual;Action","15","40","12","0","0","20000-50000","2.89","0"
"46740","World Basketball Manager 2010","2010-04-21","1","Icehole Games","Strategy First","windows","0","Single-player","Simulation","Simulation;Sports;Basketball","0","40","88","0","0","20000-50000","2.09","0"
"47400","Stronghold 3 Gold","2012-05-25","1","FireFly Studios","FireFly Studios","windows;mac;linux","0","Single-player;Multi-player;Steam Trading Cards;Includes level editor","Simulation;Strategy","Strategy;City Builder;Medieval","0","971","2385","506","758","500000-1000000","0.0","0"
"47410","Stronghold Kingdoms","2012-02-27","1","FireFly Studios","FireFly Studios","windows","0","Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards","Free to Play;Massively Multiplayer;Strategy","Strategy;Free to Play;Medieval","0","4886","2609","329","421","1000000-2000000","0.0","0"
